Will I be able to access health care at Student Health and Counseling Services?,"Yes, Student Health and Counseling Services (SHCS) remain open for students. Visit the Health-e-Messaging portal for most medical and mental health appointment scheduling."
What mental health resources are available?,"Regardless of where students are residing for the fall, there are a variety of mental health resources available. Please review the COVID-19 Mental Health Resource Flyer for more information about mental health appointments, crisis support and self-care."
Do I have to complete the Daily Symptom Survey?,"Everyone — students, employees, visitors — must complete a Daily Symptom Survey before entering a university-managed facility. A daily symptom survey is a requirement for all UC Davis-operated facilities anywhere in California and serves as a reminder to pay attention to your symptoms."
What do I do if I become sick?,Students who are sick or have questions about COVID-19 or other conditions are encouraged to contact Student Health and Counseling Services (SHCS) for a telehealth visit with a nurse or medical provider for further assessment and advice. Make an appointment online or call 530-752-2349.
Will testing be required for students?,"UC Davis has established a rapid, comprehensive COVID-19 screening and testing program on campus. All registered UC Davis students are eligible for weekly COVID-19 testing through the campus testing kiosk. Please visit the COVID-19 testing webpage for current testing requirements, testing FAQs and a testing webinar for students. The testing webpage also includes supplementary guidance for testing and self-quarantine related to holiday travel during quarter breaks. "
What happens if I’m diagnosed with COVID-19?,"If a student tests positive or a doctor diagnoses a student with COVID-19, the student should call Student Health and Counseling Services at 530-752-2349 so that we can be aware and coordinate care if needed. In addition, please follow the campus reporting protocol to report a positive test or diagnosis for COVID-19."
How do I know if I need to isolate or quarantine?,"Directives for UC Davis students to isolate or quarantine will be provided by Student Health and Counseling Services (SHCS), including students who live off campus if they do not have appropriate options at their primary residence. The university is setting aside isolation and quarantine facilities. UC Davis has also worked with local housing complex owners to assist them in establishing isolation/quarantine space within their properties."
What should I do if someone I know has COVID-19?,"The campus has a reporting process by which it reviews confirmed cases of COVID-19 and responds to those concerned about a member of the campus community having COVID-19, whether on or off campus. Employees and students at the Davis campus must report a COVID-19 diagnosis, as well as any positive test result received by someone with whom they share a residence. Follow this brief guidance to report a positive case or concern to by emailing reportcovid@ucdavis.edu."
What should I do if someone in my household is sick with possible COVID or has been diagnosed with COVID? ,"Students who may have had contact with someone who tests positive for COVID-19 or who have been diagnosed with COVID-19 should call Student Health and Counseling Services at 530-752-2349 for an appointment with an RN or provider, during which they will be evaluated and given direction consistent with public health recommendations. Depending on their situation, the student may be moved to a quarantine space, asked to self-quarantine in their current living space, or asked to monitor their health."
Will parents be allowed to come pick up their students in residence halls if they become ill with COVID-19?,"If a UC Davis student is quarantined or isolated, they must remain within their rooms for the duration of the quarantine or isolation in compliance with state and county public health guidance. The campus will provide isolation rooms and food services for students living in on-campus housing. One of the purposes of the quarantine or isolation is to prevent any potential, further spread of COVID-19. This guidance may change based on guidance from county and state quarantine and isolation mandates."
Will suspected cases of COVID-19 be shared to help eliminate concerns about possible risks to others?,"For the health of our community, the campus has a reporting process by which we review confirmed cases of COVID-19 and respond to those concerned about a member of the campus community having COVID-19, whether on or off campus. Employees and students at the Davis campus must report a COVID-19 diagnosis for themselves or someone with whom they share a residence. Follow this brief guidance to report a positive case or concern by emailing reportcovid@ucdavis.edu."
"Will flu shots be required of students, academic personnel and staff? Why?",Visit the UC Davis Flu Vaccination Information page to learn more about the influenza vaccination requirement and flu clinics that will be provided on campus in September and October.
What are the benefits of getting the flu shot?,Benefits of the flu shot include:
Does the flu shot work?,"According to the CDC, recent studies show that flu shots ​generally reduce the risk of flu illness by between 40% and 60%. This varies from person to person and season to season. Even if someone gets the flu shot and still gets the flu, several studies have shown that people who get the flu shot do not get as sick as people who do not get the flu shot."
What are the requirements of the new Interim Public Health Policy and how will it be enforced?,The campus has developed two interim policies to implement important public health directives and address student conduct and discipline during the pandemic.
"If some classes are held in-person, what will UC Davis do in terms of health and safety measures?","In-person classes will be very limited in number, have fewer than 50 students per class and will be those where the learning objectives can only be accomplished in person (e.g., advanced laboratory skills, some studio or performance classes, or fieldwork). These classes will follow strict public health guidelines related to required face coverings, physical distancing, disinfecting surfaces and ventilation systems, among others. All lectures and discussion sections will be held remotely for undergraduate students and for most graduate students."
"If I’m traveling from another state or country, will I have to self-quarantine before I can start participating in campus activities? If so, where and for how long?",For UC Davis-Sponsored International Travel
"Do all students, faculty and staff have to wear face coverings while on campus?","Face coverings must be worn by students, academics, staff and visitors at all UC Davis locations. For indoor locations, the only exceptions are while eating or drinking or in private spaces such as dorm rooms, single-occupancy offices, showers and the like. For outdoor spaces, face covering should be worn when maintaining 6 feet of distance from others is not feasible."
"Will Unitrans still be running? If so, how will physical distancing work while on the bus? If not, do I need to bring my car?","As the University and City's public transit service, Unitrans plans to operate uninterrupted pending changing conditions. For the most up to date information, visit the Unitrans website or follow Unitrans on Facebook. Unitrans follows transit industry guidance and bus capacity is limited to 15 people or less to support physical distancing. Buses are on standby to help keep maximum capacity to 15, and face coverings are required on the bus. Cleaning takes place three times per day and includes surface disinfection and use of a fogging system. Additional mitigations include removing seats to reduce density, opening windows, replacing cloth surfaces with vinyl and limiting access through the rear doors."
Am I allowed to leave Davis and come back?,Non-essential domestic travel for the university is strongly discouraged. Several domestic municipalities have travel restrictions and quarantine requirements in place. Keep in mind these restrictions and requirements change frequently.
Will campus provide face coverings to students?,"UPDATED: Complimentary Welcome Kits are now available for students to pick up at the Campus Bookstore, while supplies last. The Welcome Kit includes a branded face covering, hand sanitizer gel, hand sanitizing wipes, thermometer and a touchless door opener tool. Students will need to show their UC Davis Student ID to obtain one welcome kit. If you have lost or not been issued your Student ID, you may use a copy your class schedule and alternative ID with your name on it (driver license, credit card, etc) to pick up the kit. "
"Will flu shots be required of students, academic personnel and staff? Why?",Visit the UC Davis Flu Vaccination Information page to learn more about the influenza vaccination requirement and flu clinics that will be provided on campus in September and October.
Where can I access information about COVID-19 academic policies?,"The Academic Senate recently announced updates to academic policies regarding final exams for undergraduates and Passed/Not Passed (P/NP) and Satisfactory/Unsatisfactory (S/U) deadline extensions for undergraduates and graduates, respectively. Details are provided on the Academic Senate website. Please also refer to the Academic Advising section of the Campus Ready Student FAQ for factors to consider before electing to take a course P/NP."
What is the guidance to students for remote learning?,"While this journey on remote learning is still relatively new, our students and faculty are on this path together. Your instructors are likely using a combination of Canvas, Zoom, email, and other web-based tools to offer remote instruction. To navigate this new learning environment, please review the Remote Learning Strategies available on the Keep Teaching website."
What do I do on the first day of class? ,"Last updated: September 30, 2020
"
What do I need to prepare for Zoom?,"While you may find it useful to sign up for a free Zoom account, you do not need one. You can use Zoom on a computer or a smartphone device."
"How do I access WiFi and/or technology, such as a webcam, to take classes and proctored exams? ",UC Davis has a program to provide loaner laptops for students in need. Please complete the Student Laptop Checkout Request and sign the accompanying agreement. The campus is also providing support for WiFi and/or other technology needs. More information can be found on the Keep Teaching website.
Will classes be exclusively remote? Which ones will be available remotely versus in-person? Can I see that in Schedule Builder?,"We advise you to check Schedule Builder to see which classes have been designated “remote” for fall quarter. All lectures and discussion sections will be held remotely for undergraduate students and for most graduate students. For classes without that label, we are still carefully evaluating which of them we can offer in-person, depending on public health guidance. We recently received the state’s guidance for higher education—and we are reviewing it now."
Can I take classes exclusively remotely even if the campus is open?,"Yes, for winter 2020 you can choose to enroll only in courses that are being offered remotely."
If I have personal health concerns how will I participate in in-person classes? How will professors respond if I still don’t feel safe to come to in-person classes?,"While limited in-person course offerings will follow rigorous safety guidelines, if you have additional health or safety concerns, please contact the Student Disability Center for assistance and support. We also recommend you consult your advisor regarding your individual academic plans."
"How will courses with labs be conducted? How will studio courses (art, theatre, design) be conducted?","This is being decided on a course-by-course basis after careful review of safety plans, as well as justifications for in-person classes. While we hope to offer some laboratory sections in person, the lectures will still be offered only remotely. Courses requiring in-person attendance will follow campus as well as county and state public health policies concerning protective equipment, physical distancing, room occupancy limits, cleaning protocols, etc."
